date,headlines,fed_rate
2008-12-01,"b'120 reportedly killed in Israeli strikes on Gaza' b'Just a reminder that in November 2007 the US Government ordered Firefighters to Spy on Americans: Fahrenheit 451 is not make-believe any more' b'Nokia Maps show Kashmir as part of Pakistan;"" Hindu nationalist mobs riot and burn down Nokia shops' b'Britain and US refuse to demand end to Israeli airstrikes on Gaza' b""""""""It's not rape if she is my daughter. In Mexico incest is considered a crime against the family not the victim and the underage victim is initially considered as much a criminal as the rapist."""""""""""" b""""""""'Israeli air strikes' target Gaza: Residents in the Gaza Strip say Israeli F-16 bombers have launched a series of air strikes into the territory."""""""""""" b'UK continues down path of 1984 wanting to censor all English language pages on the internet and exempt parents from responsibility.'"""" b'Do not forget that s Israel is killing hundreds supposedly to protect itself from Hamas Israel created Hamas in the first place'"""" b'The BBC takes a look inside Gaza.  Finds malnutrition and shortages ' b'More than 150 Palestinians Killed and Hundreds Injured in Israeli Air Raid' b""""""""A woman found bound in the trunk of her own car may have been there for well over a week.  The good news:  She's ALIVE!"""""""""""" b'Israel Set for Gaza Invasion After Rocket Barrage' b""""""""Canada U.S. agree to use each other's troops in civil emergencies"""""""""""" b'Harold Pinter on US hubris and bullying' b'Israeli air strikes in Gaza Strip kill 155' b'AFP: Casulties in Gaza are at least 225 more than 700 wounded. '"""" b'When War breaks out between India and Pakistan who would win?' b""""""""Saudi Human Rights Council Launches Women's Rights Campaign"""""""""""" b'Eurosceptic and climate change sceptic becomes EU President' b""""""""As Taliban nears Kabul shadow gov't takes hold"""""""""""" b'Destroy all terrorist camps in Pakistan Indian Muslims urge Indian Govt'"""" b'Saudi Columnist Calls for End of Religious Police Newspaper Fires Him'"""" b""""""""What's going on here?  Condi Rice gets over $300 000 worth of jewels from Arab leaders."""""""""""" b'Samuel Huntington dies. ' b'Main stream media vs. corporate media a distinction and a difference'"""""";;;;;;;",0.16
2009-06-01,"b'URGENT New Video: MANY students shot &amp;"" killed by Basiji gun fire in Iran' b""""""""Iranian authorities scramble to negate Neda Soltan 'martyrdom': tell family to take down mourning posters ban a public funeral or wake stop gatherings in her name and media not to mention her death"""""""""""" b'Iran Had a Democracy Before We Took It Away' b'Police Medic [pic]' b""""""""A commander of the Iranian Revolutionary Guards has been arrested for refusing to use force on protesters and defying Khamenei's orders"""""""""""" b'Girl with 56 stars tattooed on face admits lying - Update ' b""""""""General Ali Fazli commander of the Iranian Revolutionary Guards has been arrested for refusing to obey Iran's Supreme Leader"""""""""""" b'A US drone strike killed least 45 people that were  \r\nattending a funeral for others killed in a US drone \r\nstrike earlier on Tuesday.'"""" b'Meanwhile in China: Tens of thousands fight the police.  200+ injured.' b'Four Iranian players hit with lifetime ban for wearing green wristbands' b'All the fudge that allowed a modern society to coexist with a theocracy inspired by an imam occulted in the 9th century has been swept away leaving two Irans at war.'"""" b""""""""Iranian security forbids Neda's family from putting up traditional black mourning banners on their home and forbids memorial service."""""""""""" b'Do as we say not as we do: U.S. troops opened fire at former Iraqi soldiers demonstrating to demand back wages outside the American headquarters in Baghdad Wednesday killing two protesters during a chaotic rock-throwing melee.'"""" b'Iran: Rafsanjani Poised to Outlflan Supreme Leader Khamenei' b'Canadian Firms Sued For Investing in Israeli Settlements' b""""""""Iranian Regime Now Claiming Neda's Death Was Staged."""""""""""" b""""""""Israel stunned by Obama's tough love - no longer more equal than others"""""""""""" b'[Unconfirmed] [Need Translation] The Smoking Gun in Iran?  Video shows Ahmadi admitting to the rigged election?  ' b'The Truth Rundown:High-ranking defectors provide an unprecedented inside look at the \nChurch of Scientology and its leader David Miscavige. '"""" b'The Peruvian Amazon Explodes But Is Anyone Watching?'"""" b'Man digs 50ft hole to fish - in his kitchen' b'Iran says courts will teach protesters a lesson' b'U.S. Missile Strike Kills at Least 60 in Pakistan ' b'[Pics &amp""; Vids] Iranian police smash property &amp; blame it on protesters' b'Top Clerics in Iran Considering Removing Khamenei and Ahmadinejad';;;;; b'Iraq currently holding giant GTFO party' b'Yemeni airliner crashes in Indian Ocean - 150 people reportedly on board;"" fate unknown' b'BREAKING - Israel attacks Gaza Freedom Boat kidnaps human rights workers steals medicines and toys.'"""" b'Today Israeli Occupation Forces attacked and boarded the Free Gaza Movement boat the SPIRIT OF HUMANITY abducting 21 human rights workers from 11 countries including Noble laureate Mairead Maguire and former U.S. Congresswoman Cynthia McKinney. '"""" b'Israel to steal the largest section of Palestinian land since 1967 (nearly 34 345 acres includes Dead Sea beachside tourist area) '"""" b'100 000 Hondurans strike: """"""""We don\'t recognize this new government imposed by the oligarchy""""""""'"""" b'Report: Israeli Drones Killed 29 Civilians in Gaza War' b'URGENT ALERT - Israeli Navy surrounding Free \r\nGaza ship and threatening to open fire' b""""""""Shell has *perpetrated* a 'human rights tragedy' in the Niger Delta"""""""""""" b'Business as usual: Peru approves massive oil project just days after Amazons Tiananmen' b'Jewish Americans surprised they were beaten up in Israel by law abiding god fearing typical Israelis' b""""""""Canadian Mint 'loses' $15 million in Gold - not an accounting error...."""""""""""" b'Cynthia McKinney Reportedly Taken Captive By Israeli Navy' b'EPA Comes Clean with List of 44 Coal Ash Facilities' b'The Complicated Case of Honduras a detailed post explaining the current situation in Honduras unbiased.'"""" b'ISRAEL ATTACKS JUSTICE BOAT""; KIDNAPS HUMAN RIGHTS WORKERS;"" CONFISCATES MEDICINE TOYS AND OLIVE TREES'"""" b'Israeli settlers attack two Nablus villages' b""""""""U.K. court: Jewish school's entry policy is racist"""""""""""" b'Israel along with friends like these the US is screwed big time' b'The Honduran military is effectively a subsidiary of the United States government. Honduras as a whole if any Latin American country is fully owned by the United States its Honduras.'"""" b'Over the course of several days in April last year the boy says he was moved from an army camp to a prison where he was crammed into a cell with five other children cursed at and humiliated by the guards and beaten by his interrogator until he confessed to stone-throwing.'"""" b'Honduras: """"""""Protests outside the presidential palace grew from hundreds to thousands""""""""'"""" b'Australia broadcaster apologizes to an Israel lobby group for Israel report that is 90% correct' b'Free Gaza ship sets sail from Larnaca' b'Former CIA officer charged in Algiers rape'"";;;;;",0.21
2009-07-01,"b'Israeli cell phone ad shows friendly game of Israeli-Palestinian football over the Wall.  Palestinians test it out;"" kick ball over wall.  Salvo of tear gas grenades fired in return.   Includes video.   LOL. ' b""""""""Chevron getting hit with $27B fine for destroying Ecuador's rain forest: Chevron has no plans to pay it"""""""""""" b'Human rights activist Natalia Estemirova was the conscience of Chechnya. Tuesday morning as she walked out of her house she was dragged into an unmarked white Lada screaming vainly for help.'"""" b""""""""Israel cuts 1948 'catastrophe' from Arabic textbooks"""""""""""" b'Darkness envelops Asia during total eclipse' b'Amnesty: Saudi Arabia is holding more than 3 000 people in secret detention and has used torture to extract confessions'"""" b""""""""Because of ethnocentric Israeli land ownership \r\nlaws most Arabs can't buy most homes in West \r\nJerusalem despite Netanyahu's claims to the \r\ncontrary made in response to the U.S. request to \r\nhalt a Jewish construction project in East Jerusalem."""""""""""" b'Amnesty International has strongly criticised Saudi Arabia over abuses allegedly committed under its counter-terrorism program.' b'France has summoned the Israeli ambassador in Paris to demand a halt of Jewish settlement in east Jerusalem' b'""""""""Israel leaves the inhabitants of the West bank thirsty"""""""" while on the other side of the fences Palestinians see """"""""green lawns and sprinklers irrigating the whole day""""""""'"""" b'The longest solar eclipse of the century - The Big Picture - Boston.com' b'Iran VP pick too friendly toward Israel?  Supreme leader orders President Ahmadinejad to dismiss his deputy.' b""""""""The boy was afraid. He was standing in front of his grandmother's house when police took him to the CID. After three hours he contacted us..."""""""""""" b'Brazil Official\nReportedly Calls\nIsraeli Foreign\nMinister a Fascist' b""""""""Israeli Prime Minister Benjamin Netanyahu has reaffirmed his government's five foundations for peacemaking with the Palestinians in a speech to parliament.  Here are the five."""""""""""" b'No more Namibia: China blocks search results for entire country' b'Israel to declare as state property West Bank land that has emerged as a result of Dead Sea shrinkage' b'Quake moves New Zealand towards Australia' b'Georgy Gongadze an outspoken critic of the Ukrainian government was kidnapped in September 2000. His decapitated body was found near Kiev two weeks later. Now a former top Ukrainian interior ministry official has confessed to the crime and implicated other senior Ukrainian officials.'"""" b'US to escalate military presence in Colombia causing increases in tension with neighbors such as Venezuela Ecuador etc.'"""" b'Israel to use Hitler shot for PR' b'They want to turn these guys into assassins a former high-level intelligence officer told me. They want to go on rumorsnot factsand go for political effect and thats what the Special Forces Command is really afraid of.""""""""'"""" b'Clinton urges irreversible steps from N. Korea - Pyongyang is told to dismantle main reactor surrender plutonium stockpile'"""" b'Ahmadinejad creating a rift with Supreme Leader over in-law vice president' b'Study: Mexican immigration to U.S. drops '"";;;;;;;",0.16
2010-01-01,"b'Top Imams affiliated with the Islamic Supreme Council of Canada have issued a fatwa calling those terrorists who attack the United States and Canada evil.' b'Human sacrifices increase in Uganda;"" blood and body parts used in spell-casting to gain wealth' b'An Indian man is in a serious condition in hospital after being set on fire in the street in Melbourne early this morning.' b""""""""Muslims and Christians set fire to each others' homes and shops near the southern Egyptian town"""""""""""" b'Putin warns Russia is prepared to go on the weapons offensive.  In order to preserve a balance while we arent planning to build a missile defence of our own as its very expensive and its efficiency is not quite clear we have to develop offensive strike systems.'"""" b""""""""A beauty pageant winner from Canada's east coast says she will join this year's seal hunt after an anti-hunting group altered photos of her wearing sealskin."""""""""""" b""""""""Iran's hardline president has ordered the formation of a team to study the damages the country suffered from the 1941 Allied invasion in order to demand compensation."""""""""""" b'Yemen: the mood in Sanaa - Many worry they will be collateral damage in the next front of America\'s """"""""war on terror""""""""'"""" b""""""""Politician who said homosexuality could be cured is under fire for getting her teenage lover a 50 000 pound loan. Her politican husband didn't disclose the loan. """""""""""" b'""""""""I caused a mass riot in India leaving 185 people arrested so far and about 100 business owned by Larry Summers oligarch-friends [Mukesh Ambani] smoldering in ruins."""""""" '"""" b'Israel launches air strikes in Gaza' b""""""""'CIA bomber' shown vowing revenge"""""""""""" b'Canadians give thumbs up to full body scanners at airports' b""""""""BBC - We're all Icelanders now"""""""""""" b'Three independent experts confirm authenticity of video footage which shows extra-judicial killings of bound and naked Tamil rebels by Sri Lankan troops. And a former army general states that the government ordered rebels to be killed and not allowed to surrender at the end of the war last year.' b'So this is what happens when you put a major sports tournament in Angola' b'Italy deployed extra police and evacuated migrants on Saturday from a southern town after residents violently attacked African farm workers protesting against their conditions.' b""""""""Border oil dispute worsens fears about Iran's influence over Iraqi government - washingtonpost.com"""""""""""" b'In an instance of shocking apathy a sub-inspector of police brutally attacked by a gang bled to death as his cry for help went in vain even after two state ministers with their convoy stopped by and saw his plight.'"""" b'Abdul Majeed Zandani A Yemen religious leader says the growing interest in activities in Yemen is part of a plot to occupy the country.  He also has a KICK ASS beard!!'"""" b""""""""Yesterday's news - Ady Gil collision from three views including on the Ady Gil."""""""""""" b'Two more arrested in suspected New York bomb \r\nplot (reuters)' b""""""""China Is Now The World's Biggest New Car Market"""""""""""" b""""""""Iran reformist Mehdi Karroubi's car shot at"""""""""""" b""""""""Greeces public debt: Can't afford to keep people as healthy as before but can still afford 10 000 riot police to attack its own people."""""""""""""";;;;;;;",0.11
2010-04-01,"b'1 canadian dollar &gt;"" 1 US dollar' b'UK Election: Todays front pages. Are these newspapers or attack ads?' b""""""""South Korea's military believes a torpedo fired from a North Korean submarine sank its navy ship last month based on intelligence gathered jointly with the United States a news report said on Thursday."""""""""""" b'Top Gear Takes Blame for Volcano Eruption in Iceland ' b'Belgian law banning burqua calls for fine or jail.  First such law in Europe set to take effect.' b""""""""Rupert's Son James Murdoch Storms Into Rival Newspaper's Newsroom shouting 'What Are You F*@!ing Playing At?'"""""""""""" b'Despite what the media tells you crime in Britain is at a thirty year low'"""" b'Southern Sudan brews beer: Out of reach of the Islamic Khartoum government beer is made and drunk.'"""" b'""""""""With women hidden out of sight in Afghan society rich and powerful men turned their attention to boys aged 11 and up dressing them in feminine clothes adorning them with bells and trinkets and training them as twirling dancing dolls.""""""""'"""" b""""""""South Korean ship sunk by crack squad of 'human torpedoes' """""""""""" b'Afghan Massacre Survivor To Obama: You Be The Judge (VIDEO)' b'Ryanair announces it will refuses to obey EU passenger rights laws and will not cover hotel and meal expenses for stranded passengers - lawbreakers need to be punished - complain to the European Commission ' b'Movie theaters and bars were forced to close for 24 hours video games disappeared from the Internet and televised movies and soap operas were abruptly replaced by an emotional news loop produced by the countrys central broadcaster.'"""" b'Dozens injured in Bangkok blasts' b""""""""Iceland volcano: why we were lucky we weren't wiped out"""""""""""" b'Jerusalem must be shared by both Israelis and Palestinians an Israeli activist group says in response to the recent Washington Post ads.'"""" b""""""""IDF walks into a Palestinian village and starts shooting at people. They claim Palestinians were throwing rocks at the 'soldiers'. Turns out the IDF was fibbing well either that or Palestinians can throw rocks 100 meters far with perfect accuracy."""""""""""" b'Rockets hit Jordan """"""""from Egypt.""""""""  Two small missiles were launched from the Sinai allegedly aimed at Israel.'"""" b""""""""What's the worst company in the USA? Cash4Gold Bank of America Ticketmaster and Comcast round out the top four"""""""""""" b'Apparently a guy who shot a video of gunfire at the \r\npolish plane crash site was murdered a few days \r\nago.'"""" b""""""""CNN and Ha'artez each have an article quoting a poll about what American Jews think of how Obama is handling Israel and the Middle East.  They completely contradict one another ..."""""""""""" b""""""""Google 'not interested' in privacy say information tsars"""""""""""" b'The Corrupt Reign of Emperor Silvio - Another terrific piece from Stille on Berlusconi\'s sex scandals. He has """"""""transformed the political life of a major nation into a reality TV show in which he is star producer and network owner""""""""'"""" b'Taiwan Touch Panel Sceen Workers Struggle For Basic Rights' b'The hotel assault was reportedly mounted by up to 50 gunmen who seized cars to block streets slowing the police. '"""""";;;;;;;",0.2
2010-07-01,"BANGLADESH: A man dies in police custody after refusing to pay bribes;"" his relatives are warned not to pursue the case North Korean soldiers defect to China fuelling fears of imminent military clash Terrorists target World Cup fans in Uganda watching final game : At least 64 killed"""" Anger in Costa Rica over deal to 'invite' 46 US warships    Opposition leaders in Costa Rica are furious over an agreement that allows 46 US warships and 7 000 US Marines to enter the country as part of an anti-drug effort."""" Swiss authorities reject US extradition of Polanski Israel and the lobby are pushing us to war with Iran. Al Qaeda group bombs Ugandan World Cup parties: death toll now 65 (Photos) Ireland to block EU-Israel data transfer Facebook installs 'panic button' for children Oil companies complicit in Sudan civil war report alleges. """"""""A recent report by a group of NGOs alleges that an oil consortium led by Swedish firm Lundin Petroleum may have been complicit in 'war crimes and crimes against humanity' in Sudan."""""""""""" No freedom flotilla for the people of Darfur.  Sudan government incited violence kills 221 in June Conroy and Gillard delay controversial web filtering plan.  The Australian government has succumbed to pressure and delayed the introduction of its mandatory internet filtering scheme. Former Cuban leader Fidel Castro will appear on Cuban television and radio on Monday evening to discuss his theory that the world is on the verge of nuclear war the Communist Party newspaper Granma said in its Monday online edition."""" Two men who organised a controversial art exhibition showing in Moscow in 2007 have been found guilty by a Russian court of inciting hatred. BBC News - Twin blasts in Uganda capital Kampala kill at least 64 Will Brazil be able to successfully host the 2014 World Cup? Al-Jazeera reports that maybe they won't. Iran Air is now forbidden from landing most of its airplanes in Europe due to """"""""safety concerns"""""""""""" 26 Year Old Woman Raped and Murdered by Basij Members for 'Bad Hijab' - The intentions of the savage Basij members was to put a stop to the """"""""improper"""""""" way women in society dressed"""" Gaza farmers risk being shot by Israeli patrols: Foreigners acts as human shield to protect Palestinians Israel's military probe into the attack on the Gaza aid convoy has found Israeli forces guilty of serious errors 'Shining India' makes its poor pay price of hosting Commonwealth Games China: New government transparency rules strike chord with public Creating Order in the Euro Zone - Fearing a lasting burden on taxpayers the German government is preparing a set of insolvency rules for countries in the euro zone. It would require private investors to bear some of the financial burden and force the affected countries to give up some sovereignty."""" Dubai: full body scanners at airports violate """"""""personal privacy"""""""" and may have side effects on passengers."""" Palestinians in Hebron have their doors welded shut to protect Jewish settlers."";;;;;;;",0.18
2010-08-01,"Israel Places Order For 20 Joint Strike Fighters;"" U.S. Taxpayers Pick Up The Tab A huge trove of newly declassified documents subpoenaed during a 1962-1964 Senate investigation reveals how Israels lobby pitched promoted and paid to have content placed in Americas top news magazines with overseas funding"""" North Korea: Pyongyang on its knees - only potatoes to stave off famine Israel barring Gazans' access to farms fishing zones has leveled farmland and destroyed personal property situated in restricted areas in efforts to keep Palestinians out"""" How would you feel if I roughed up your mom/dad/sister/brother blindfolded and tied them and then took a photo next to them in such a state while making a duck face and acting as if they were simply an irrelevant part of the background? Would it be perfectly ok for me to do that to your family?"""" Two Israel soldiers suspected of flotilla theft: media Iraq war was illegal repeats Clegg - Deputy PM Nick Clegg has restated his view that the Iraq War was illegal saying: """"""""I don't think the legality of that invasion has been proven."""""""""""" Scores die in Baghdad bombings.  """"""""I was soaked with blood from the body parts and wounded and dead people falling over and beside me."""""""""""" Philip K. Dick And Orwell Predictions Coming To Life Visualizing the Wikileaks War Logs -- An Animated Map of Afghanistan A Saudi judge has asked several hospitals in the country whether they could damage a man's spinal cord as punishment French aid group Help Doctors accuses Hamas of closing down health clinic and seizing medical equipment. Finland: a country of extremes. Newsweek has proclaimed Finland the best country in the world. But some Finns disagree Gaza: UN urges lifting of Israeli restrictions on access to land and sea"";;;;;;; Vietnam Adopts George Washington's Non-Interventionist Foreign Policy - Gen. Vinh reconfirmed the three pillars of Vietnams defense policy: not joining in any military alliances or becoming a military ally of any country;"" not allowing any country to set up military bases in Vietnam... City of Toronto first in North America to formally endorses harm reduction on drug use Found: BP's Missing Oil Westerners vs. the World - Western social science relies on behavioural studies using Western participants. But in matters such as fairness individualism conformism Westerners are outliers by world standards """" Israeli education ministry approves new 'whites-only' settlement school. Decoding of wheat genome hailed as most significant breakthrough in wheat production in 10 000 years"""" The clock has run out on Facebook to revamp its privacy rules to avoid a public showdown with Canada's privacy czar over how it protects personal information"";;;;;;;",0.19
2011-03-01,"BitTorrent User uses $4 Seedbox and Saves 172 BBC Websites From Extinction to expose the cost savings of this proposed exercise as nothing more than a charade to appease the detractors to a strong BBC and to curry favour with the David Cameron government. Wikileaks cables leaked information regarding global food policy as it relates to U.S. officials  in the highest levels of government  that involves a conspiracy with Monsanto to force the global sale and use of genetically-modified foods. Israeli Defense Minister: Israel may ask US for additional $20 billion in military aid in response to Arab pro-democracy upheavals Gaddafi deploys tanks and hundreds of troops in all-out effort to take Zawiyah 19 yr old Montreal Graffiti artist brutally attacked &amp;"" killed by a couple of teens angry that he was covering their graffiti with his - One of the teens was sentenced today - 3 years max! Gaddafi's wife owns some 20 tons of gold which would make her worth around $1 Billion """" Should individuals have a """"""""right to be forgotten""""""""? A doctor in Spain botched a surgery 20 years ago now he wants the newspaper article purged from Google claiming it's """"""""personal information"""""""" [article pasted in comments]"""" Yemeni army fires at student protesters International women's day in Cairo: Protesting women harassed attacked and reports of shots fired"""" Ivory Coast Woman Protesters massacred by Presidents henchmen (warning Graphic) Anonymous hackers vow to avenge accused WikiLeaks source Army pfc. Bradley Manning from jail abuse The revolutionaries in Libya have their website Rebels demand Gaddafi step down within 72 hour and stops all bombings and rebels appeal for help from the world pleading for a 'no fly zone' Gaddafi wanted guarantees of personal safety for him and his family and a pledge that they not be put on trial. The offer was rejected because it would have amounted to an """"""""honorable"""""""" exit for Gaddafi and would offend his victims."""" Whites only nightclubs in Warsaw? - Three out of eight nightclubs tested for racial discrimination in Warsaw at the weekend refused entry to black people a report by the Institute of Public Affairs reveals."""" 'Corrective Rape': Fighting a South African Scourge Pakistani authorities have released details of a letter threatening all who support repeal of Pakistan's blasphemy law."";;;;;;;",0.14
2011-05-01,"Sony announces second data breach with theft of 25m more user details Here's what the WHOLE world thinks of Osama's death.  Bonus Robert Fisk interview goodness. This is just wrong: Bahrain charges doctors and nurses who treated injured anti-government protesters;"" they will stand trial in military court Conservatives win majority in Canadian election NZ pushed to create copyright laws by US government The New Zealand Law Commission urges overhaul   legalizing medical marijuana decriminalizing drug possession and small-time drug dealing and doing away with drug paraphernalia laws"""" New Yorker: Bin Laden compound was in Pakistani Army territory - inconceivable that they wouldn't have known about it Tomlinson unlawfully killed at G20 protests inquest rules"""" Air France cockpit voice recorder has now been located Tornado strikes Auckland NZ"";"" roof has collapsed at city's largest shopping center """" Argentinians light trains on fire in anger over chronic delays fail to improve scheduling situation."""" Vatican offends many by hosting Mugabe Alberta pipeline leak largest since 1975 Inquest finds G20 bystander """"""""unlawfully killed"""""""" by British police officer"""" China: A total of 53 officials involved in the sale of melamine-tainted milk have been punished days after 14 people were convicted of selling tainted milk powder and two of them sent to prison. Ian Tomlinson unlawfully killed by PC at G20 protest an inquest jury has found. Palestinian factions sign reconciliation deal in Egypt Japan : Radiation leaks from fuel rods suspected at "";;;;;;",0.09
2011-06-01,"German cabinet approves a plan to shut down all its 17 nuclear power plants by 2022;"" eight reactors will be shut down immediately. Bahraini doctors and nurses charged with """"""""plotting to overthrow the monarchy"""""""" for treating protestors""; protests &amp;"" violence continue."""" Video of Bashar al-Assad's forces planting weapons on civilians after massacring them on the way to aiding people in Daraa [NSFW] Bribery in India: A website for whistleblowers Mexico's 'Holy Death' cult rapidly growing Hello my name is Nikolay I am 24 years old and I died serving in the Russian army. The bullet hit me right between the eyes"";"" I died instantly."""" Australian climate scientists receive death threats."";;;; F1 chief Bernie Ecclestone says Bahrain Grand Prix will be cancelled after 11 F1 teams objected Germany has been doing well economically: carrot &amp; stick social programs have pushed people back to work; average real wages up 30% since 1985; tougher down payment rules on houses prevented a bubble;"" taxes hiked and spending cut to reduce deficits. The UN has declared that Internet access is a human right Net neutrality to be added to Dutch telecommunications act Innocent passerby shot dead by cops in... Montreal Canada!? """" Iran's women soccer team banned from Olympics because of headscarves"""" Russia defies growing consensus with declaration of 'total war on drugs' - Under new laws being drawn up addicts would be forced into treatment or jailed and dealers 'treated like serial killers'."""" TIL North Korea runs state-sponsored restaurants all over Asia...the waitresses come from the upper crust of North Korean society and essentially live like prisoners in their workplaces. Carbolic acid has spilled into a river that supplies drinking water to Hangzhou in eastern China knocking out supplies to more than 500 000 people and creating a run on bottled water"""" Fukushima nuclear plant may have suffered 'melt-through' Japan admits"""" BBC News - China aircraft carrier confirmed by general Formula One chief Bernie Ecclestone has said that he believes the Bahrain Grand Prix will not go ahead as planned as the teams and drivers involved did not want to take part So Where's Japan's Radiation Going? David Cameron warns Syria that Britain will not stand silent. Australia issues a blanket ban on all live cattle exports to Indonesia after brutality exposed last week How Greek Protesters See The EU In One Simple Photograph The Big Picture:  Chile's Puyehue volcano. Ahmadinejad is facing increased political attacks from the supreme leader from continually overstepping his bounds. In Greek Port Storm Brews Over Chinese-Run Labor"""" Wrongly convicted woman freed after 17 years in jail: judge blames pathologist who convicted her now exposed as a fraudster. She was an easy target for Smith and she was an easy target I fear for the criminal justice system Japan doubles nuclear radiation leak estimate 'Farting Camels Must Die to Save the World' Australian carbon plan to unleash kill-choppers against dromedaries Yemenis protests after talks rejected: Thousands gather outside vice-president's residence after government rejects proposed dialogue as """"""""ridiculous""""""""."""" Japan raises spectre of Fukushima 'melt-through' - ABC News (Australian Broadcasting Corporation) Fighter jets intercept Russian bombers after flying into Dutch airspace"";;;;",0.09
